OPEN_DATETIME,CLOSE_DATETIME,BUY_SELL,CALL_PUT,STRIKE,EXPIRATION,QUANTITY
2017-01-02 09:32,2017-01-02 09:35,,,,,
2017-01-02 09:35,2017-01-02 09:38,,,,,
2017-01-02 09:38,2017-01-02 09:41,,,,,
2017-01-02 09:41,2017-01-02 09:44,,,,,
2017-01-02 09:44,2017-01-02 09:47,,,,,
2017-01-02 09:47,2017-01-02 09:50,,,,,
2017-01-02 09:50,2017-01-02 09:53,,,,,
2017-01-02 09:53,2017-01-02 09:56,,,,,
2017-01-02 09:56,2017-01-02 09:59,,,,,
2017-01-02 09:59,2017-01-02 10:02,,,,,
2017-01-02 10:02,2017-01-02 10:05,,,,,
2017-01-02 10:05,2017-01-02 10:08,,,,,
2017-01-02 10:08,2017-01-02 10:11,,,,,
2017-01-02 10:11,2017-01-02 10:14,,,,,
2017-01-02 10:14,2017-01-02 10:17,,,,,
2017-01-02 10:17,2017-01-02 10:20,,,,,
2017-01-02 10:20,2017-01-02 10:23,,,,,
2017-01-02 10:23,2017-01-02 10:26,,,,,
2017-01-02 10:26,2017-01-02 10:29,,,,,
2017-01-02 10:29,2017-01-02 10:32,,,,,
2017-01-02 10:32,2017-01-02 10:35,,,,,
2017-01-02 10:35,2017-01-02 10:38,,,,,
2017-01-02 10:38,2017-01-02 10:41,,,,,
2017-01-02 10:41,2017-01-02 10:44,,,,,
2017-01-02 10:44,2017-01-02 10:47,,,,,
2017-01-02 10:47,2017-01-02 10:50,,,,,
2017-01-02 10:50,2017-01-02 10:53,,,,,
2017-01-02 10:53,2017-01-02 10:56,,,,,
2017-01-02 10:56,2017-01-02 10:59,,,,,
2017-01-02 10:59,2017-01-02 11:02,,,,,
2017-01-02 11:02,2017-01-02 11:05,,,,,
2017-01-02 11:05,2017-01-02 11:08,,,,,
2017-01-02 11:08,2017-01-02 11:11,,,,,
2017-01-02 11:11,2017-01-02 11:14,,,,,
2017-01-02 11:14,2017-01-02 11:17,,,,,
2017-01-02 11:17,2017-01-02 11:20,,,,,
2017-01-02 11:20,2017-01-02 11:23,,,,,
2017-01-02 11:23,2017-01-02 11:26,,,,,
2017-01-02 11:26,2017-01-02 11:29,,,,,
2017-01-02 11:29,2017-01-02 11:32,,,,,
2017-01-02 11:32,2017-01-02 11:35,,,,,
2017-01-02 11:35,2017-01-02 11:38,,,,,
2017-01-02 11:38,2017-01-02 11:41,,,,,
2017-01-02 11:41,2017-01-02 11:44,,,,,
2017-01-02 11:44,2017-01-02 11:47,,,,,
2017-01-02 11:47,2017-01-02 11:50,,,,,
2017-01-02 11:50,2017-01-02 11:53,,,,,
2017-01-02 11:53,2017-01-02 11:56,,,,,
2017-01-02 11:56,2017-01-02 11:59,,,,,
2017-01-02 11:59,2017-01-02 12:02,,,,,
2017-01-02 12:02,2017-01-02 12:05,,,,,
2017-01-02 12:05,2017-01-02 12:08,,,,,
2017-01-02 12:08,2017-01-02 12:11,,,,,
2017-01-02 12:11,2017-01-02 12:14,,,,,
2017-01-02 12:14,2017-01-02 12:17,,,,,
2017-01-02 12:17,2017-01-02 12:20,,,,,
2017-01-02 12:20,2017-01-02 12:23,,,,,
2017-01-02 12:23,2017-01-02 12:26,,,,,
2017-01-02 12:26,2017-01-02 12:29,,,,,
2017-01-02 12:29,2017-01-02 12:32,,,,,
2017-01-02 12:32,2017-01-02 12:35,,,,,
2017-01-02 12:35,2017-01-02 12:38,,,,,
2017-01-02 12:38,2017-01-02 12:41,,,,,
2017-01-02 12:41,2017-01-02 12:44,,,,,
2017-01-02 12:44,2017-01-02 12:47,,,,,
2017-01-02 12:47,2017-01-02 12:50,,,,,
2017-01-02 12:50,2017-01-02 12:53,,,,,
2017-01-02 12:53,2017-01-02 12:56,,,,,
2017-01-02 12:56,2017-01-02 12:59,,,,,
2017-01-02 12:59,2017-01-02 13:02,,,,,
2017-01-02 13:02,2017-01-02 13:05,,,,,
2017-01-02 13:05,2017-01-02 13:08,,,,,
2017-01-02 13:08,2017-01-02 13:11,,,,,
2017-01-02 13:11,2017-01-02 13:14,,,,,
2017-01-02 13:14,2017-01-02 13:17,,,,,
2017-01-02 13:17,2017-01-02 13:20,,,,,
2017-01-02 13:20,2017-01-02 13:23,,,,,
2017-01-02 13:23,2017-01-02 13:26,,,,,
2017-01-02 13:26,2017-01-02 13:29,,,,,
2017-01-02 13:29,2017-01-02 13:32,,,,,
2017-01-02 13:32,2017-01-02 13:35,,,,,
2017-01-02 13:35,2017-01-02 13:38,,,,,
2017-01-02 13:38,2017-01-02 13:41,,,,,
2017-01-02 13:41,2017-01-02 13:44,,,,,
2017-01-02 13:44,2017-01-02 13:47,,,,,
2017-01-02 13:47,2017-01-02 13:50,,,,,
2017-01-02 13:50,2017-01-02 13:53,,,,,
2017-01-02 13:53,2017-01-02 13:56,,,,,
2017-01-02 13:56,2017-01-02 13:59,,,,,
2017-01-02 13:59,2017-01-02 14:02,,,,,
2017-01-02 14:02,2017-01-02 14:05,,,,,
2017-01-02 14:05,2017-01-02 14:08,,,,,
2017-01-02 14:08,2017-01-02 14:11,,,,,
2017-01-02 14:11,2017-01-02 14:14,,,,,
2017-01-02 14:14,2017-01-02 14:17,,,,,
2017-01-02 14:17,2017-01-02 14:20,,,,,
2017-01-02 14:20,2017-01-02 14:23,,,,,
2017-01-02 14:23,2017-01-02 14:26,,,,,
2017-01-02 14:26,2017-01-02 14:29,,,,,
2017-01-02 14:29,2017-01-02 14:32,,,,,
2017-01-02 14:32,2017-01-02 14:35,,,,,
2017-01-02 14:35,2017-01-02 14:38,,,,,
2017-01-02 14:38,2017-01-02 14:41,,,,,
2017-01-02 14:41,2017-01-02 14:44,,,,,
2017-01-02 14:44,2017-01-02 14:47,,,,,
2017-01-02 14:47,2017-01-02 14:50,,,,,
2017-01-02 14:50,2017-01-02 14:53,,,,,
2017-01-02 14:53,2017-01-02 14:56,,,,,
2017-01-02 14:56,2017-01-02 14:59,,,,,
2017-01-02 14:59,2017-01-02 15:02,,,,,
2017-01-02 15:02,2017-01-02 15:05,,,,,
2017-01-02 15:05,2017-01-02 15:08,,,,,
2017-01-02 15:08,2017-01-02 15:11,,,,,
2017-01-02 15:11,2017-01-02 15:14,,,,,
2017-01-02 15:14,2017-01-02 15:17,,,,,
2017-01-02 15:17,2017-01-02 15:20,,,,,
2017-01-02 15:20,2017-01-02 15:23,,,,,
2017-01-02 15:23,2017-01-02 15:26,,,,,
2017-01-02 15:26,2017-01-02 15:29,,,,,
2017-01-02 15:29,2017-01-02 15:32,,,,,
2017-01-02 15:32,2017-01-02 15:35,,,,,
2017-01-02 15:35,2017-01-02 15:38,,,,,
2017-01-02 15:38,2017-01-02 15:41,,,,,
2017-01-02 15:41,2017-01-02 15:44,,,,,
2017-01-02 15:44,2017-01-02 15:47,,,,,
2017-01-02 15:47,2017-01-02 15:50,,,,,
2017-01-02 15:50,2017-01-02 15:53,,,,,
2017-01-02 15:53,2017-01-02 15:56,,,,,
2017-01-02 15:56,2017-01-02 15:59,,,,,
2017-01-02 15:59,2017-01-09 09:32,,,,,
2017-01-09 09:32,2017-01-09 09:35,,,,,
2017-01-09 09:35,2017-01-09 09:38,,,,,
2017-01-09 09:38,2017-01-09 09:41,,,,,
2017-01-09 09:41,2017-01-09 09:44,,,,,
2017-01-09 09:44,2017-01-09 09:47,,,,,
2017-01-09 09:47,2017-01-09 09:50,,,,,
2017-01-09 09:50,2017-01-09 09:53,,,,,
2017-01-09 09:53,2017-01-09 09:56,,,,,
2017-01-09 09:56,2017-01-09 09:59,,,,,
2017-01-09 09:59,2017-01-09 10:02,,,,,
2017-01-09 10:02,2017-01-09 10:05,,,,,
2017-01-09 10:05,2017-01-09 10:08,,,,,
2017-01-09 10:08,2017-01-09 10:11,,,,,
2017-01-09 10:11,2017-01-09 10:14,,,,,
2017-01-09 10:14,2017-01-09 10:17,,,,,
2017-01-09 10:17,2017-01-09 10:20,,,,,
2017-01-09 10:20,2017-01-09 10:23,,,,,
2017-01-09 10:23,2017-01-09 10:26,,,,,
2017-01-09 10:26,2017-01-09 10:29,,,,,
2017-01-09 10:29,2017-01-09 10:32,,,,,
2017-01-09 10:32,2017-01-09 10:35,,,,,
2017-01-09 10:35,2017-01-09 10:38,,,,,
2017-01-09 10:38,2017-01-09 10:41,,,,,
2017-01-09 10:41,2017-01-09 10:44,,,,,
2017-01-09 10:44,2017-01-09 10:47,,,,,
2017-01-09 10:47,2017-01-09 10:50,,,,,
2017-01-09 10:50,2017-01-09 10:53,,,,,
2017-01-09 10:53,2017-01-09 10:56,,,,,
2017-01-09 10:56,2017-01-09 10:59,,,,,
2017-01-09 10:59,2017-01-09 11:02,,,,,
2017-01-09 11:02,2017-01-09 11:05,,,,,
2017-01-09 11:05,2017-01-09 11:08,,,,,
2017-01-09 11:08,2017-01-09 11:11,,,,,
2017-01-09 11:11,2017-01-09 11:14,,,,,
2017-01-09 11:14,2017-01-09 11:17,,,,,
2017-01-09 11:17,2017-01-09 11:20,,,,,
2017-01-09 11:20,2017-01-09 11:23,,,,,
2017-01-09 11:23,2017-01-09 11:26,,,,,
2017-01-09 11:26,2017-01-09 11:29,,,,,
2017-01-09 11:29,2017-01-09 11:32,,,,,
2017-01-09 11:32,2017-01-09 11:35,,,,,
2017-01-09 11:35,2017-01-09 11:38,,,,,
2017-01-09 11:38,2017-01-09 11:41,,,,,
2017-01-09 11:41,2017-01-09 11:44,,,,,
2017-01-09 11:44,2017-01-09 11:47,,,,,
2017-01-09 11:47,2017-01-09 11:50,,,,,
2017-01-09 11:50,2017-01-09 11:53,,,,,
2017-01-09 11:53,2017-01-09 11:56,,,,,
2017-01-09 11:56,2017-01-09 11:59,,,,,
2017-01-09 11:59,2017-01-09 12:02,,,,,
2017-01-09 12:02,2017-01-09 12:05,,,,,
2017-01-09 12:05,2017-01-09 12:08,,,,,
2017-01-09 12:08,2017-01-09 12:11,,,,,
2017-01-09 12:11,2017-01-09 12:14,,,,,
2017-01-09 12:14,2017-01-09 12:17,,,,,
2017-01-09 12:17,2017-01-09 12:20,,,,,
2017-01-09 12:20,2017-01-09 12:23,,,,,
2017-01-09 12:23,2017-01-09 12:26,,,,,
2017-01-09 12:26,2017-01-09 12:29,,,,,
2017-01-09 12:29,2017-01-09 12:32,,,,,
2017-01-09 12:32,2017-01-09 12:35,,,,,
2017-01-09 12:35,2017-01-09 12:38,,,,,
2017-01-09 12:38,2017-01-09 12:41,,,,,
2017-01-09 12:41,2017-01-09 12:44,,,,,
2017-01-09 12:44,2017-01-09 12:47,,,,,
2017-01-09 12:47,2017-01-09 12:50,,,,,
2017-01-09 12:50,2017-01-09 12:53,,,,,
2017-01-09 12:53,2017-01-09 12:56,,,,,
2017-01-09 12:56,2017-01-09 12:59,,,,,
2017-01-09 12:59,2017-01-09 13:02,,,,,
2017-01-09 13:02,2017-01-09 13:05,,,,,
2017-01-09 13:05,2017-01-09 13:08,,,,,
2017-01-09 13:08,2017-01-09 13:11,,,,,
2017-01-09 13:11,2017-01-09 13:14,,,,,
2017-01-09 13:14,2017-01-09 13:17,,,,,
2017-01-09 13:17,2017-01-09 13:20,,,,,
2017-01-09 13:20,2017-01-09 13:23,,,,,
2017-01-09 13:23,2017-01-09 13:26,,,,,
2017-01-09 13:26,2017-01-09 13:29,,,,,
2017-01-09 13:29,2017-01-09 13:32,,,,,
2017-01-09 13:32,2017-01-09 13:35,,,,,
2017-01-09 13:35,2017-01-09 13:38,,,,,
2017-01-09 13:38,2017-01-09 13:41,,,,,
2017-01-09 13:41,2017-01-09 13:44,,,,,
2017-01-09 13:44,2017-01-09 13:47,,,,,
2017-01-09 13:47,2017-01-09 13:50,,,,,
2017-01-09 13:50,2017-01-09 13:53,,,,,
2017-01-09 13:53,2017-01-09 13:56,,,,,
2017-01-09 13:56,2017-01-09 13:59,,,,,
2017-01-09 13:59,2017-01-09 14:02,,,,,
2017-01-09 14:02,2017-01-09 14:05,,,,,
2017-01-09 14:05,2017-01-09 14:08,,,,,
2017-01-09 14:08,2017-01-09 14:11,,,,,
2017-01-09 14:11,2017-01-09 14:14,,,,,
2017-01-09 14:14,2017-01-09 14:17,,,,,
2017-01-09 14:17,2017-01-09 14:20,,,,,
2017-01-09 14:20,2017-01-09 14:23,,,,,
2017-01-09 14:23,2017-01-09 14:26,,,,,
2017-01-09 14:26,2017-01-09 14:29,,,,,
2017-01-09 14:29,2017-01-09 14:32,,,,,
2017-01-09 14:32,2017-01-09 14:35,,,,,
2017-01-09 14:35,2017-01-09 14:38,,,,,
2017-01-09 14:38,2017-01-09 14:41,,,,,
2017-01-09 14:41,2017-01-09 14:44,,,,,
2017-01-09 14:44,2017-01-09 14:47,,,,,
2017-01-09 14:47,2017-01-09 14:50,,,,,
2017-01-09 14:50,2017-01-09 14:53,,,,,
2017-01-09 14:53,2017-01-09 14:56,,,,,
2017-01-09 14:56,2017-01-09 14:59,,,,,
2017-01-09 14:59,2017-01-09 15:02,,,,,
2017-01-09 15:02,2017-01-09 15:05,,,,,
2017-01-09 15:05,2017-01-09 15:08,,,,,
2017-01-09 15:08,2017-01-09 15:11,,,,,
2017-01-09 15:11,2017-01-09 15:14,,,,,
2017-01-09 15:14,2017-01-09 15:17,,,,,
2017-01-09 15:17,2017-01-09 15:20,,,,,
2017-01-09 15:20,2017-01-09 15:23,,,,,
2017-01-09 15:23,2017-01-09 15:26,,,,,
2017-01-09 15:26,2017-01-09 15:29,,,,,
2017-01-09 15:29,2017-01-09 15:32,,,,,
2017-01-09 15:32,2017-01-09 15:35,,,,,
2017-01-09 15:35,2017-01-09 15:38,,,,,
2017-01-09 15:38,2017-01-09 15:41,,,,,
2017-01-09 15:41,2017-01-09 15:44,,,,,
2017-01-09 15:44,2017-01-09 15:47,,,,,
2017-01-09 15:47,2017-01-09 15:50,,,,,
2017-01-09 15:50,2017-01-09 15:53,,,,,
2017-01-09 15:53,2017-01-09 15:56,,,,,
2017-01-09 15:56,2017-01-09 15:59,,,,,
2017-01-09 15:59,2017-01-16 09:32,,,,,
2017-01-16 09:32,2017-01-16 09:35,,,,,
2017-01-16 09:35,2017-01-16 09:38,,,,,
2017-01-16 09:38,2017-01-16 09:41,,,,,
2017-01-16 09:41,2017-01-16 09:44,,,,,
2017-01-16 09:44,2017-01-16 09:47,,,,,
2017-01-16 09:47,2017-01-16 09:50,,,,,
2017-01-16 09:50,2017-01-16 09:53,,,,,
2017-01-16 09:53,2017-01-16 09:56,,,,,
2017-01-16 09:56,2017-01-16 09:59,,,,,
2017-01-16 09:59,2017-01-16 10:02,,,,,
2017-01-16 10:02,2017-01-16 10:05,,,,,
2017-01-16 10:05,2017-01-16 10:08,,,,,
2017-01-16 10:08,2017-01-16 10:11,,,,,
2017-01-16 10:11,2017-01-16 10:14,,,,,
2017-01-16 10:14,2017-01-16 10:17,,,,,
2017-01-16 10:17,2017-01-16 10:20,,,,,
2017-01-16 10:20,2017-01-16 10:23,,,,,
2017-01-16 10:23,2017-01-16 10:26,,,,,
2017-01-16 10:26,2017-01-16 10:29,,,,,
2017-01-16 10:29,2017-01-16 10:32,,,,,
2017-01-16 10:32,2017-01-16 10:35,,,,,
2017-01-16 10:35,2017-01-16 10:38,,,,,
2017-01-16 10:38,2017-01-16 10:41,,,,,
2017-01-16 10:41,2017-01-16 10:44,,,,,
2017-01-16 10:44,2017-01-16 10:47,,,,,
2017-01-16 10:47,2017-01-16 10:50,,,,,
2017-01-16 10:50,2017-01-16 10:53,,,,,
2017-01-16 10:53,2017-01-16 10:56,,,,,
2017-01-16 10:56,2017-01-16 10:59,,,,,
2017-01-16 10:59,2017-01-16 11:02,,,,,
2017-01-16 11:02,2017-01-16 11:05,,,,,
2017-01-16 11:05,2017-01-16 11:08,,,,,
2017-01-16 11:08,2017-01-16 11:11,,,,,
2017-01-16 11:11,2017-01-16 11:14,,,,,
2017-01-16 11:14,2017-01-16 11:17,,,,,
2017-01-16 11:17,2017-01-16 11:20,,,,,
2017-01-16 11:20,2017-01-16 11:23,,,,,
2017-01-16 11:23,2017-01-16 11:26,,,,,
2017-01-16 11:26,2017-01-16 11:29,,,,,
2017-01-16 11:29,2017-01-16 11:32,,,,,
2017-01-16 11:32,2017-01-16 11:35,,,,,
2017-01-16 11:35,2017-01-16 11:38,,,,,
2017-01-16 11:38,2017-01-16 11:41,,,,,
2017-01-16 11:41,2017-01-16 11:44,,,,,
2017-01-16 11:44,2017-01-16 11:47,,,,,
2017-01-16 11:47,2017-01-16 11:50,,,,,
2017-01-16 11:50,2017-01-16 11:53,,,,,
2017-01-16 11:53,2017-01-16 11:56,,,,,
2017-01-16 11:56,2017-01-16 11:59,,,,,
2017-01-16 11:59,2017-01-16 12:02,,,,,
2017-01-16 12:02,2017-01-16 12:05,,,,,
2017-01-16 12:05,2017-01-16 12:08,,,,,
2017-01-16 12:08,2017-01-16 12:11,,,,,
2017-01-16 12:11,2017-01-16 12:14,,,,,
2017-01-16 12:14,2017-01-16 12:17,,,,,
2017-01-16 12:17,2017-01-16 12:20,,,,,
2017-01-16 12:20,2017-01-16 12:23,,,,,
2017-01-16 12:23,2017-01-16 12:26,,,,,
2017-01-16 12:26,2017-01-16 12:29,,,,,
2017-01-16 12:29,2017-01-16 12:32,,,,,
2017-01-16 12:32,2017-01-16 12:35,,,,,
2017-01-16 12:35,2017-01-16 12:38,,,,,
2017-01-16 12:38,2017-01-16 12:41,,,,,
2017-01-16 12:41,2017-01-16 12:44,,,,,
2017-01-16 12:44,2017-01-16 12:47,,,,,
2017-01-16 12:47,2017-01-16 12:50,,,,,
2017-01-16 12:50,2017-01-16 12:53,,,,,
2017-01-16 12:53,2017-01-16 12:56,,,,,
2017-01-16 12:56,2017-01-16 12:59,,,,,
2017-01-16 12:59,2017-01-16 13:02,,,,,
2017-01-16 13:02,2017-01-16 13:05,,,,,
2017-01-16 13:05,2017-01-16 13:08,,,,,
2017-01-16 13:08,2017-01-16 13:11,,,,,
2017-01-16 13:11,2017-01-16 13:14,,,,,
2017-01-16 13:14,2017-01-16 13:17,,,,,
2017-01-16 13:17,2017-01-16 13:20,,,,,
2017-01-16 13:20,2017-01-16 13:23,,,,,
2017-01-16 13:23,2017-01-16 13:26,,,,,
2017-01-16 13:26,2017-01-16 13:29,,,,,
2017-01-16 13:29,2017-01-16 13:32,,,,,
2017-01-16 13:32,2017-01-16 13:35,,,,,
2017-01-16 13:35,2017-01-16 13:38,,,,,
2017-01-16 13:38,2017-01-16 13:41,,,,,
2017-01-16 13:41,2017-01-16 13:44,,,,,
2017-01-16 13:44,2017-01-16 13:47,,,,,
2017-01-16 13:47,2017-01-16 13:50,,,,,
2017-01-16 13:50,2017-01-16 13:53,,,,,
2017-01-16 13:53,2017-01-16 13:56,,,,,
2017-01-16 13:56,2017-01-16 13:59,,,,,
2017-01-16 13:59,2017-01-16 14:02,,,,,
2017-01-16 14:02,2017-01-16 14:05,,,,,
2017-01-16 14:05,2017-01-16 14:08,,,,,
2017-01-16 14:08,2017-01-16 14:11,,,,,
2017-01-16 14:11,2017-01-16 14:14,,,,,
2017-01-16 14:14,2017-01-16 14:17,,,,,
2017-01-16 14:17,2017-01-16 14:20,,,,,
2017-01-16 14:20,2017-01-16 14:23,,,,,
2017-01-16 14:23,2017-01-16 14:26,,,,,
2017-01-16 14:26,2017-01-16 14:29,,,,,
2017-01-16 14:29,2017-01-16 14:32,,,,,
2017-01-16 14:32,2017-01-16 14:35,,,,,
2017-01-16 14:35,2017-01-16 14:38,,,,,
2017-01-16 14:38,2017-01-16 14:41,,,,,
2017-01-16 14:41,2017-01-16 14:44,,,,,
2017-01-16 14:44,2017-01-16 14:47,,,,,
2017-01-16 14:47,2017-01-16 14:50,,,,,
2017-01-16 14:50,2017-01-16 14:53,,,,,
2017-01-16 14:53,2017-01-16 14:56,,,,,
2017-01-16 14:56,2017-01-16 14:59,,,,,
2017-01-16 14:59,2017-01-16 15:02,,,,,
2017-01-16 15:02,2017-01-16 15:05,,,,,
2017-01-16 15:05,2017-01-16 15:08,,,,,
2017-01-16 15:08,2017-01-16 15:11,,,,,
2017-01-16 15:11,2017-01-16 15:14,,,,,
2017-01-16 15:14,2017-01-16 15:17,,,,,
2017-01-16 15:17,2017-01-16 15:20,,,,,
2017-01-16 15:20,2017-01-16 15:23,,,,,
2017-01-16 15:23,2017-01-16 15:26,,,,,
2017-01-16 15:26,2017-01-16 15:29,,,,,
2017-01-16 15:29,2017-01-16 15:32,,,,,
2017-01-16 15:32,2017-01-16 15:35,,,,,
2017-01-16 15:35,2017-01-16 15:38,,,,,
2017-01-16 15:38,2017-01-16 15:41,,,,,
2017-01-16 15:41,2017-01-16 15:44,,,,,
2017-01-16 15:44,2017-01-16 15:47,,,,,
2017-01-16 15:47,2017-01-16 15:50,,,,,
2017-01-16 15:50,2017-01-16 15:53,,,,,
2017-01-16 15:53,2017-01-16 15:56,,,,,
2017-01-16 15:56,2017-01-16 15:59,,,,,
2017-01-16 15:59,2017-01-23 09:32,,,,,
2017-01-23 09:32,2017-01-23 09:35,,,,,
2017-01-23 09:35,2017-01-23 09:38,,,,,
2017-01-23 09:38,2017-01-23 09:41,,,,,
2017-01-23 09:41,2017-01-23 09:44,,,,,
2017-01-23 09:44,2017-01-23 09:47,,,,,
2017-01-23 09:47,2017-01-23 09:50,,,,,
2017-01-23 09:50,2017-01-23 09:53,,,,,
2017-01-23 09:53,2017-01-23 09:56,,,,,
2017-01-23 09:56,2017-01-23 09:59,,,,,
2017-01-23 09:59,2017-01-23 10:02,,,,,
2017-01-23 10:02,2017-01-23 10:05,,,,,
2017-01-23 10:05,2017-01-23 10:08,,,,,
2017-01-23 10:08,2017-01-23 10:11,,,,,
2017-01-23 10:11,2017-01-23 10:14,,,,,
2017-01-23 10:14,2017-01-23 10:17,,,,,
2017-01-23 10:17,2017-01-23 10:20,,,,,
2017-01-23 10:20,2017-01-23 10:23,,,,,
2017-01-23 10:23,2017-01-23 10:26,,,,,
2017-01-23 10:26,2017-01-23 10:29,,,,,
2017-01-23 10:29,2017-01-23 10:32,,,,,
2017-01-23 10:32,2017-01-23 10:35,,,,,
2017-01-23 10:35,2017-01-23 10:38,,,,,
2017-01-23 10:38,2017-01-23 10:41,,,,,
2017-01-23 10:41,2017-01-23 10:44,,,,,
2017-01-23 10:44,2017-01-23 10:47,,,,,
2017-01-23 10:47,2017-01-23 10:50,,,,,
2017-01-23 10:50,2017-01-23 10:53,,,,,
2017-01-23 10:53,2017-01-23 10:56,,,,,
2017-01-23 10:56,2017-01-23 10:59,,,,,
2017-01-23 10:59,2017-01-23 11:02,,,,,
2017-01-23 11:02,2017-01-23 11:05,,,,,
2017-01-23 11:05,2017-01-23 11:08,,,,,
2017-01-23 11:08,2017-01-23 11:11,,,,,
