"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2017-12-28","15:59:00",156.73,"1 Jan 12 155.5 C BTO 2.29 | 2 Jan 12 157 C STO 1.32 | 1 Jan 12 158 C BTO 0.83",-48,156.69,"2017-12-29","09:32:00",-46,"Exited at Specified Time",-2,1,99947,48,"",0.85,0.849,0.5,-0.31,0,-4.17
"2017-12-28","15:56:00",156.75,"1 Jan 12 155.5 C BTO 2.28 | 2 Jan 12 157 C STO 1.33 | 1 Jan 12 158 C BTO 0.84",-46,156.73,"2017-12-28","15:59:00",-48,"Exited at Specified Time",2,1,99949,46,"",0.85,0.846,0.5,-0.29,4.35,0
"2017-12-28","15:53:00",156.73,"1 Jan 12 155.5 C BTO 2.28 | 2 Jan 12 157 C STO 1.32 | 1 Jan 12 158 C BTO 0.83",-47,156.75,"2017-12-28","15:56:00",-46,"Exited at Specified Time",-1,1,99947,47,"",0.85,0.853,0.5,-0.31,2.13,-2.13
"2017-12-28","15:50:00",156.6,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.55 | 1 Jan 12 158 C BTO 0.79",11,156.73,"2017-12-28","15:53:00",11,"Exited at Specified Time",0,1,99948,39,"",1.04,1.035,0.5,-0.44,9.09,0
"2017-12-28","15:47:00",156.62,"1 Jan 12 155.5 C BTO 2.21 | 2 Jan 12 156.5 C STO 1.55 | 1 Jan 12 158 C BTO 0.80",9,156.6,"2017-12-28","15:50:00",11,"Exited at Specified Time",-2,1,99948,41,"",1.03,1.037,0.5,-0.42,0,-22.22
"2017-12-28","15:44:00",156.61,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",9,156.62,"2017-12-28","15:47:00",9,"Exited at Specified Time",0,1,99950,41,"",1.03,1.03,0.5,-0.43,0,0
"2017-12-28","15:41:00",156.6,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",9,156.61,"2017-12-28","15:44:00",9,"Exited at Specified Time",0,1,99950,41,"",1.03,1.03,0.5,-0.44,0,-33.33
"2017-12-28","15:38:00",156.59,"1 Jan 12 155.5 C BTO 2.18 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.78",12,156.6,"2017-12-28","15:41:00",9,"Exited at Specified Time",3,1,99950,38,"",1.04,1.03,0.5,-0.45,25,0
"2017-12-28","15:35:00",156.59,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",10,156.59,"2017-12-28","15:38:00",12,"Exited at Specified Time",-2,1,99947,40,"",1.03,1.041,0.5,-0.45,10,-20
"2017-12-28","15:32:00",156.59,"1 Jan 12 155.5 C BTO 2.18 | 2 Jan 12 156.5 C STO 1.53 | 1 Jan 12 158 C BTO 0.78",10,156.59,"2017-12-28","15:35:00",10,"Exited at Specified Time",0,1,99949,40,"",1.03,1.034,0.5,-0.45,0,0
"2017-12-28","15:29:00",156.6,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.78",11,156.59,"2017-12-28","15:32:00",10,"Exited at Specified Time",1,1,99949,39,"",1.04,1.034,0.5,-0.44,18.18,0
"2017-12-28","15:26:00",156.6,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",9,156.6,"2017-12-28","15:29:00",11,"Exited at Specified Time",-2,1,99948,41,"",1.03,1.037,0.5,-0.44,0,-22.22
"2017-12-28","15:23:00",156.62,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.55 | 1 Jan 12 158 C BTO 0.79",11,156.6,"2017-12-28","15:26:00",9,"Exited at Specified Time",2,1,99950,39,"",1.04,1.03,0.5,-0.42,18.18,0
"2017-12-28","15:20:00",156.61,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",10,156.62,"2017-12-28","15:23:00",11,"Exited at Specified Time",-1,1,99948,40,"",1.03,1.037,0.5,-0.43,0,-20
"2017-12-28","15:17:00",156.59,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.53 | 1 Jan 12 158 C BTO 0.78",9,156.61,"2017-12-28","15:20:00",10,"Exited at Specified Time",-1,1,99949,41,"",1.03,1.034,0.5,-0.45,0,-11.11
"2017-12-28","15:14:00",156.63,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.56 | 1 Jan 12 158 C BTO 0.79",13,156.59,"2017-12-28","15:17:00",9,"Exited at Specified Time",4,1,99950,37,"",1.04,1.03,0.5,-0.41,30.77,0
"2017-12-28","15:11:00",156.62,"1 Jan 12 155.5 C BTO 2.20 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",9,156.63,"2017-12-28","15:14:00",13,"Exited at Specified Time",-4,1,99946,41,"",1.03,1.043,0.5,-0.42,0,-44.44
"2017-12-28","15:08:00",156.62,"1 Jan 12 155.5 C BTO 2.21 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.79",8,156.62,"2017-12-28","15:11:00",9,"Exited at Specified Time",-1,1,99950,42,"",1.03,1.03,0.5,-0.42,0,-37.5
"2017-12-28","15:05:00",156.61,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.78",11,156.62,"2017-12-28","15:08:00",8,"Exited at Specified Time",3,1,99951,39,"",1.04,1.027,0.5,-0.43,27.27,0
"2017-12-28","15:02:00",156.61,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.53 | 1 Jan 12 158 C BTO 0.78",9,156.61,"2017-12-28","15:05:00",11,"Exited at Specified Time",-2,1,99948,41,"",1.03,1.037,0.5,-0.43,0,-33.33
"2017-12-28","14:59:00",156.58,"1 Jan 12 155.5 C BTO 2.17 | 2 Jan 12 156.5 C STO 1.52 | 1 Jan 12 158 C BTO 0.77",10,156.61,"2017-12-28","15:02:00",9,"Exited at Specified Time",1,1,99950,40,"",1.03,1.03,0.5,-0.46,10,0
"2017-12-28","14:56:00",156.58,"1 Jan 12 155.5 C BTO 2.17 | 2 Jan 12 156.5 C STO 1.52 | 1 Jan 12 158 C BTO 0.77",10,156.58,"2017-12-28","14:59:00",10,"Exited at Specified Time",0,1,99949,40,"",1.03,1.034,0.5,-0.46,10,0
"2017-12-28","14:53:00",156.59,"1 Jan 12 155.5 C BTO 2.18 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.78",12,156.58,"2017-12-28","14:56:00",10,"Exited at Specified Time",2,1,99949,38,"",1.04,1.034,0.5,-0.45,16.67,0
"2017-12-28","14:50:00",156.59,"1 Jan 12 155.5 C BTO 2.17 | 2 Jan 12 156.5 C STO 1.53 | 1 Jan 12 158 C BTO 0.78",11,156.59,"2017-12-28","14:53:00",12,"Exited at Specified Time",-1,1,99947,39,"",1.04,1.041,0.5,-0.45,0,-9.09
"2017-12-28","14:47:00",156.6,"1 Jan 12 155.5 C BTO 2.19 | 2 Jan 12 156.5 C STO 1.53 | 1 Jan 12 158 C BTO 0.78",9,156.59,"2017-12-28","14:50:00",11,"Exited at Specified Time",-2,1,99948,41,"",1.03,1.037,0.5,-0.44,0,-22.22
"2017-12-28","14:44:00",156.58,"1 Jan 12 155.5 C BTO 2.18 | 2 Jan 12 156.5 C STO 1.52 | 1 Jan 12 158 C BTO 0.77",9,156.6,"2017-12-28","14:47:00",9,"Exited at Specified Time",0,1,99950,41,"",1.03,1.03,0.5,-0.46,0,-22.22
"2017-12-28","14:41:00",156.6,"1 Jan 12 155.5 C BTO 2.18 | 2 Jan 12 156.5 C STO 1.54 | 1 Jan 12 158 C BTO 0.78",12,156.58,"2017-12-28","14:44:00",9,"Exited at Specified Time",3,1,99950,38,"",1.04,1.031,0.5,-0.44,25,0
